source,source_id,url,published,company,title,seniority_tier,location,text_sha256,communication,collaboration,stakeholder_alignment,mentoring,leadership_influence,feedback_review,learning_adaptability,conflict_negotiation,empathy_listening,any_socioemotional,two_or_more,competency_count,core_competency_count
The Muse,21940094,https://www.themuse.com/jobs/capitalone/senior-lead-software-engineer-full-stack-ee6390,2026-07-10,Capital One,"Senior Lead Software Engineer, Full Stack",Lead,"Chicago, IL",14a73b4583c346a4de6b52a9fd5151e64f3275248038f6ec2a883a795c6d02a4,0,1,0,1,0,0,0,0,0,1,1,2,2
The Muse,21889510,https://www.themuse.com/jobs/renttherunway/senior-software-engineer-6847f3,2026-07-10,Rent the Runway,Senior Software Engineer,Senior,"Galway, Ireland",142d11bde2142e1c55921078e2207f22bb8212da1fa4451700f06a50991dcb30,1,0,0,0,1,0,1,0,0,1,1,3,3
The Muse,21840821,https://www.themuse.com/jobs/flexport/senior-software-engineer-customs-d2efa6,2026-07-10,Flexport,"Senior Software Engineer, Customs",Senior,"Amsterdam, Netherlands",1e6832d5b62166ad869fff519fb7d683421321c61dd6a393c6802995e3de3261,0,1,0,0,0,0,0,0,0,1,0,1,1
The Muse,21927578,https://www.themuse.com/jobs/riotgames/principal-software-engineer-gameplay-teamfight-tactics-e865a9,2026-07-10,Riot Games,"Principal Software Engineer, Gameplay - Teamfight Tactics",Staff/Principal,"Los Angeles, CA",370e6c4db00536f5d806e3fd493b0b6012595c28c35b5fb291f8121be5e2abdd,1,1,0,1,1,0,0,0,0,1,1,4,4
Arbeitnow,senior-full-stack-java-entwickler-munich-242949,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/senior-full-stack-java-entwickler-munich-242949,2026-07-10,MY Humancapital GmbH,(Senior) Full Stack Java Entwickler (m/w/d),Senior,Munich,d75f55a1efdc8f92dafbcd88ccbdb13d405e9da842a5eb7071d67717502a0d94,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbeitnow,senior-fullstack-developer-munich-404351,https://www.arbeitnow.com/jobs/companies/envidual/senior-fullstack-developer-munich-404351,2026-07-10,Envidual,Senior Fullstack Developer (m/w/d),Senior,Munich,d8500ce17c7d72a9efd99bf766ee0d6fbd0bcfb4a54602b605a45c7b4c464d64,0,1,0,0,0,1,1,0,0,1,1,3,2
Arbeitnow,senior-software-engineer-perception-autonomous-systems-berlin-426413,https://www.arbeitnow.com/jobs/companies/motor-ai/senior-software-engineer-perception-autonomous-systems-berlin-426413,2026-07-10,MOTOR Ai,Senior Software Engineer (m/f/d) Perception & Autonomous Systems,Senior,Berlin,ed5fa28f204fe05ddc062d1b89fde8d33e57a8505b7d0307258e74cf9451ad8d,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbeitnow,senior-software-engineer-enterprise-ai-java-angular-karlsruhe-463945,https://www.arbeitnow.com/jobs/companies/squareneo/senior-software-engineer-enterprise-ai-java-angular-karlsruhe-463945,2026-07-10,SquareNeo,Senior Software Engineer - Enterprise AI - Java / Angular (m/w/d),Senior,Karlsruhe,c7c997f2352cd756a916cdd186d24a3c07ad8258e2f7badba1e86ed8faa7fb4b,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbeitnow,senior-full-stack-engineer-backend-focus-berlin-90834,https://www.arbeitnow.com/jobs/companies/evalion-gmbh/senior-full-stack-engineer-backend-focus-berlin-90834,2026-07-10,Evalion GmbH,Senior Full-Stack Engineer (Backend Focus) (m/w/d),Senior,Berlin,681eb2500df999b8c07b37b8b8da4bbfe0e985d77fb37a20cc1f6b0e208f4db6,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbeitnow,senior-software-engineer-device-connectivity-go-berlin-308082,https://www.arbeitnow.com/jobs/companies/1komma50/senior-software-engineer-device-connectivity-go-berlin-308082,2026-07-10,1KOMMA5˚,(Senior) Software Engineer - Device Connectivity (Go) (m/f/d),Senior,Berlin,18a56654f59b3d88734cd1e2ed75ec2da77a547d3d2c5f13def1cd73fc82b287,0,1,0,0,1,0,0,0,0,1,1,2,2
Arbeitnow,senior-software-developer-hamburg-442269,https://www.arbeitnow.com/jobs/companies/andcompany-gmbh/senior-software-developer-hamburg-442269,2026-07-10,AndCompany GmbH,Senior Software Developer (m/w/d),Senior,Hamburg,69d8aebed40b91265350b5632d4381e9ed13f7d8e20b15adfe7bfb05542ff25f,1,0,0,0,0,1,0,0,0,1,0,2,1
The Muse,20120085,https://www.themuse.com/jobs/uber/sr-staff-software-engineer-0dcef6,2026-07-10,Uber,Sr Staff Software Engineer,Staff/Principal,"Hyderabad, India",c20ce111ebb1faa374885a86bcc2058fd2446c2b1fe275ada38264f503daf31f,0,1,0,0,1,0,0,0,0,1,1,2,2
The Muse,21769709,https://www.themuse.com/jobs/flexport/staff-software-engineer-platform,2026-07-09,Flexport,Staff Software Engineer: Platform,Staff/Principal,"Amsterdam, Netherlands",32fc9aee07974b132143ba556ea3415f1a43f21f778cafd4712d4ad024ab9910,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,20854778,https://www.themuse.com/jobs/flexport/senior-software-engineer-data-infrastructure-44cabc,2026-07-09,Flexport,Senior Software Engineer: Data Infrastructure,Senior,"Amsterdam, Netherlands",3bf6911d19e591e72bd15d409661004586b17ecbac12e3198e1f0d98d8bbbbcd,1,1,0,1,0,0,0,0,1,1,1,4,4
The Muse,20791616,https://www.themuse.com/jobs/flexport/senior-software-engineer-applied-ai,2026-07-09,Flexport,Senior Software Engineer: Applied AI,Senior,"Amsterdam, Netherlands",7e4de5bf4e45fd11938d1602256cb08725f117063a5de9167f89a05824f18bd1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21811257,https://www.themuse.com/jobs/flexport/senior-software-engineer-autonomous-freight-systems,2026-07-09,Flexport,"Senior Software Engineer, Autonomous Freight Systems",Senior,"San Francisco, CA",776108b124b1f34ba25f49bf9a74b373b13089d059c883fdefab03593ca3e3e0,1,1,0,0,1,1,0,0,0,1,1,4,3
Himalayas,https://himalayas.app/companies/pindrop/jobs/senior-software-engineer-pulse,https://himalayas.app/companies/pindrop/jobs/senior-software-engineer-pulse,2026-07-09,Pindrop,Senior Software Engineer - Pulse,Senior,United States,6c27a8e9d5de1b8c07a1e7d86a423c3ba7b24589b4d0de964e252adb24f0c356,1,0,0,0,1,0,1,0,0,1,1,3,3
The Muse,21743809,https://www.themuse.com/jobs/exadel/senior-software-engineer-python-ai-ca21d9,2026-07-09,Exadel,"Senior Software Engineer (Python, AI)",Senior,"Dublin, GA; Făgăraș, Romania; Kazanlak, Bulgaria; Kėdainiai, Lithuania; Nurota, Uzbekistan; Ozorków, Poland",70807c657f5a911439b4ba449b8031dbf14353492950b58d75a89a31e4872073,1,1,0,0,1,1,0,0,0,1,1,4,3
The Muse,21772206,https://www.themuse.com/jobs/exadel/senior-fullstack-software-engineer-java-python-nodejs-react,2026-07-09,Exadel,"Senior Full‑Stack Software Engineer (Java, Python, Node.js, React)",Senior,"Ozorków, Poland",336d2a2dde49995e16272ee189c3185ac4e3a2408ce9626c285325f09d5012c1,0,1,0,0,1,1,0,0,0,1,1,3,2
The Muse,21932930,https://www.themuse.com/jobs/spacex/sr-security-software-engineer-starlink-6bd5c7,2026-07-09,SpaceX,Sr. Security Software Engineer (Starlink) ,Senior,"Lockhart, TX",c1b0ae9eb3d84b2a1d22c6d9bdf40050f07ec74947f135be4a0633fb10b63e85,1,0,0,0,0,0,0,0,0,1,0,1,1
Remotive,2091056,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-belo-horizonte-2091056,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Belo Horizonte)",Staff/Principal,Brazil,41e3a247565d3ff3fd858f91922ca880742a2e414cc05fff97ecc67ebf302617,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091058,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-montevideo-2091058,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Montevideo)",Staff/Principal,Uruguay,3b7af9e9f4eb9401e46931221b077e60751b111eeeb7974bac3e2db54e8e9bb5,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091055,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-sao-paulo-2091055,2026-07-09,LawnStarter,"Staff Software Engineer, Product (São Paulo)",Staff/Principal,Brazil,ff74c18c748aea4f501f8facde1b1ba364807085c57d80095f4346f141f55a3d,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091050,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-mexico-city-2091050,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Mexico City)",Staff/Principal,Mexico,f6762dec35d1d06b8c095d9f2199e922282122f517500ee464a5c467fcd83f0a,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091049,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-campinas-2091049,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Campinas)",Staff/Principal,Brazil,b3a4d86505b9d75e6b04b44d9c45e182974d49f4f7d59ee273a2f3115d3270c1,0,0,0,0,1,0,0,0,0,1,0,1,1
